cod_icd10,cod_cat,description
A021,otherspecific,Certain infectious and parasitic diseases
A022,otherspecific,
A047,otherspecific,
A049,otherspecific,
A051,otherspecific,
A080,otherspecific,
A081,otherspecific,
A084,otherspecific,
A090,otherspecific,
A099,otherspecific,
A180,otherspecific,
A370,otherspecific,
A379,otherspecific,
A390,otherspecific,
A391,otherspecific,
A394,otherspecific,
A401,otherspecific,
A402,otherspecific,
A403,otherspecific,
A409,otherspecific,
A410,sepsis,
A411,sepsis,
A412,sepsis,
A413,sepsis,
A415,sepsis,
A419,sepsis,
A490,otherspecific,
A491,otherspecific,
A493,otherspecific,
A498,otherspecific,
A499,otherspecific,
A509,otherspecific,
A749,otherspecific,
A86,otherspecific,
A870,otherspecific,
A872,otherspecific,
A879,otherspecific,
B004,otherspecific,
B007,otherspecific,
B008,otherspecific,
B009,otherspecific,
B182,otherspecific,
B199,otherspecific,
B206,otherspecific,
B250,otherspecific,
B258,otherspecific,
B259,otherspecific,
B270,otherspecific,
B332,otherspecific,
B379,otherspecific,
B340,otherspecific,
B341,otherspecific,
B342,otherspecific,
B343,otherspecific,
B348,otherspecific,
B349,otherspecific,
B377,otherspecific,
B378,otherspecific,
B449,otherspecific,
B49,otherspecific,
B59,otherspecific,
B99,otherspecific,
C479,otherspecific,
C495,otherspecific,
C499,otherspecific,
C64,otherspecific,
C696,otherspecific,
C715,otherspecific,
C716,otherspecific,
C717,otherspecific,
C719,otherspecific,
C222,otherspecific,
C749,otherspecific,
C80,otherspecific,
C835,otherspecific,
C910,otherspecific,
C919,otherspecific,
C920,otherspecific,
C930,otherspecific,
C940,otherspecific,
C942,otherspecific,
C950,otherspecific,
C951,otherspecific,
C925,otherspecific,
C959,otherspecific,
C97,otherspecific,
D151,otherspecific,
D180,otherspecific,
D181,otherspecific,
D219,otherspecific,
D396,otherspecific,
D370,otherspecific,
D376,otherspecific,
D383,otherspecific,
D410,otherspecific,
D431,otherspecific,
D432,otherspecific,
D434,otherspecific,
D469,otherspecific,
D471,otherspecific,
D480,otherspecific,
D481,otherspecific,
