"cod_icd10","cod_cat","cod_cat_2","cod_cat_3","cod_cat_4","description"
"A021","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other","Certain infectious and parasitic diseases"
"A022","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A047","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A049","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A051","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A080","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A081","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A084","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A090","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A099","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A180","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A370","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A379","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A390","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A391","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A394","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A401","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A402","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A403","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A409","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A410","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Infections",
"A411","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Infections",
"A412","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Infections",
"A413","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Infections",
"A415","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Infections",
"A419","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Infections",
"A490","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A491","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A493","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A498","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A499","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A509","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A749","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A86","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A870","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A872","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"A879","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B004","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B007","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B008","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B009","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B182","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B199","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B206","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B250","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B258","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B259","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B270","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B332","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B379","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B340","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B341","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B342","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B343","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B348","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B349","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B377","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B378","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B449","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B49","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B59","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"B99","infections_parasites_toxins_surgery","infections_parasites_toxins_surgery","Infections","Other",
"C479","other","other","Other","Other",
"C495","other","other","Other","Other",
"C499","other","other","Other","Other",
"C64","other","other","Other","Other",
"C696","other","other","Other","Other",
"C715","other","other","Other","Other",
"C716","other","other","Other","Other",
"C717","other","other","Other","Other",
"C719","other","other","Other","Other",
"C222","other","other","Other","Other",
"C749","other","other","Other","Other",
"C80","other","other","Other","Other",
"C835","other","other","Other","Other",
"C910","other","other","Other","Other",
"C919","other","other","Other","Other",
"C920","other","other","Other","Other",
"C930","other","other","Other","Other",
"C940","other","other","Other","Other",
"C942","other","other","Other","Other",
"C950","other","other","Other","Other",
"C951","other","other","Other","Other",
"C925","other","other","Other","Other",
"C959","other","other","Other","Other",
"C97","other","other","Other","Other",
"D151","other","other","Other","Other",
"D180","other","other","Other","Other",
"D181","other","other","Other","Other",
"D219","other","other","Other","Other",
"D396","other","other","Other","Other",
"D370","other","other","Other","Other",
"D376","other","other","Other","Other",
"D383","other","other","Other","Other",
"D410","other","other","Other","Other",
"D431","other","other","Other","Other",
"D432","other","other","Other","Other",
"D434","other","other","Other","Other",
"D469","other","other","Other","Other",
"D471","other","other","Other","Other",
"D480","other","other","Other","Other",
"D481","other","other","Other","Other",
"D487","other","other","Other","Other",
"D489","other","other","Other","Other",
"D550","other","other","Other","Other","Diseases of the blood and blood-forming organs and certain disorders involving the immune system"
"D560","other","other","Other","Other",
"D570","other","other","Other","Other",
"D571","other","other","Other","Other",
"D572","other","other","Other","Other",
"D573","other","other","Other","Other",
"D580","other","other","Other","Other",
"D582","other","other","Other","Other",
"D593","other","other","Other","Other",
"D610","other","other","Other","Other",
"D619","other","other","Other","Other",
"D649","other","other","Other","Other",
"D65","other","other","Other","Other",
"D66","other","other","Other","Other",
"D680","other","other","Other","Other",
"D682","other","other","Other","Other",
"D685","other","other","Other","Other",
"D686","other","other","Other","Other",
"D689","other","other","Other","Other",
"D693","other","other","Other","Other",
"D694","other","other","Other","Other",
"D696","other","other","Other","Other",
"D70","other","other","Other","Other",
"D720","other","other","Other","Other",
"D748","other","other","Other","Other",
"D758","other","other","Other","Other",
"D760","other","other","Other","Other",
"D732","other","other","Other","Other",
"D749","other","other","Other","Other",
"D761","other","other","Other","Other",
"D763","other","other","Other","Other",
"D801","other","other","Other","Other",
"D811","other","other","Other","Other",
"D813","other","other","Other","Other",
"D819","other","other","Other","Other",
"D820","other","other","Other","Other",
"D821","other","other","Other","Other",
"D849","other","other","Other","Other",
"D899","other","other","Other","Other",
"E039","other","other","Other","Other","Endocrine, nutritional and metabolic diseases"
"E149","other","other","Other","Other",
"E161","other","other","Other","Other",
"E222","other","other","Other","Other",
"E230","other","other","Other","Other",
"E232","other","other","Other","Other",
"E250","other","other","Other","Other",
"E272","other","other","Other","Other",
"E274","other","other","Other","Other",
"E320","other","other","Other","Other",
"E328","other","other","Other","Other",
"E343","other","other","Other","Other",
"E348","other","other","Other","Other",
"E45","other","other","Other","Other",
"E46","other","other","Other","Other",
"E550","other","other","Other","Other",
"E561","other","other","Other","Other",
"E711","other","other","Other","Other",
"E713","other","other","Other","Other",
"E722","other","other","Other","Other",
"E723","other","other","Other","Other",
"E724","other","other","Other","Other",
"E725","other","other","Other","Other",
"E740","other","other","Other","Other",
"E742","other","other","Other","Other",
"E744","other","other","Other","Other",
"E752","other","other","Other","Other",
"E755","other","other","Other","Other",
"E756","other","other","Other","Other",
"E770","other","other","Other","Other",
"E771","other","other","Other","Other",
"E778","other","other","Other","Other",
"E785","other","other","Other","Other",
"E830","other","other","Other","Other",
"E831","other","other","Other","Other",
"E833","other","other","Other","Other",
"E835","other","other","Other","Other",
"E840","other","other","Other","Other",
"E841","other","other","Other","Other",
"E848","other","other","Other","Other",
"E849","other","other","Other","Other",
"E86","other","other","Other","Other",
"E870","other","other","Other","Other",
"E871","other","other","Other","Other",
"E872","other","other","Other","Other",
"E874","other","other","Other","Other",
"E875","other","other","Other","Other",
"E876","other","other","Other","Other",
"E877","other","other","Other","Other",
"E878","other","other","Other","Other",
"E880","other","other","Other","Other",
"E889","other","other","Other","Other",
"F069","other","other","Other","Other","Mental and behavioural disorders"
"F89","other","other","Other","Other",
"G000","other","other","Other","Other","Diseases of the nervous system"
"G001","other","other","Other","Other",
"G002","other","other","Other","Other",
"G003","other","other","Other","Other",
"G008","other","other","Other","Other",
"G009","other","other","Other","Other",
"G039","other","other","Other","Other",
"G042","other","other","Other","Other",
"G048","other","other","Other","Other",
"G049","other","other","Other","Other",
"G111","other","other","Other","Other",
"G120","other","other","Other","Other",
"G121","other","other","Other","Other",
"G122","other","other","Other","Other",
"G128","other","other","Other","Other",
"G129","other","other","Other","Other",
"G318","other","other","Other","Other",
"G319","other","other","Other","Other",
"G403","other","other","Other","Other",
"G404","other","other","Other","Other",
"G409","other","other","Other","Other",
"G419","other","other","Other","Other",
"G473","other","other","Other","Other",
"G527","other","other","Other","Other",
"G529","other","other","Other","Other",
"G608","other","other","Other","Other",
"G610","other","other","Other","Other",
"G709","other","other","Other","Other",
"G710","other","other","Other","Other",
"G711","other","other","Other","Other",
"G712","other","other","Other","Other",
"G713","other","other","Other","Other",
"G719","other","other","Other","Other",
"G729","other","other","Other","Other",
"G809","other","other","Other","Other",
"G901","other","other","Other","Other",
"G908","other","other","Other","Other",
