var,stratum,N,E,D_F,D_I,B,C
 ,Total,3999935,210701924.99,15883,15775,3984052,3968277
Sex,Male,2046099,107763664.66,8084,8704,2038015,2029311
Sex,Female,1953719,102937474.81,7682,7071,1946037,1938966
Sex,Unknown,117,785.53,117,0,0,0
Cohort,1989,4100872,215391383.85,21460,28060,4079412,4051352
Cohort,1999,3455157,181742389.25,17156,16659,3438001,3421342
Cohort,2009,4024674,211975981.85,15723,16812,4008951,3992139
Cohort,2014,3999935,210701924.99,15883,15775,3984052,3968277
Origin,Hispanic,904583,47694358.82,2976,2976,901607,898631
Origin,Non-Hispanic Black,552724,28994564.5,3607,3801,549117,545316
Origin,Non-Hispanic White,2056215,108424008.02,6431,7303,2049784,2042481
Origin,Other,356823,18820919.63,1058,1193,355765,354572
Origin,Unknown,129590,6768074.02,1811,502,127779,127277
Education,Associate,1063163,56111514.18,2795,2818,1060368,1057550
Education,"Bachelor, Master, Doctorate",432773,22858534.13,896,933,431877,430944
Education,High school,1786797,94101230.37,6794,8146,1780003,1771857
Education,Primary,567843,29871405.04,2540,3143,565303,562160
Education,Unknown,149359,7759241.27,2858,735,146501,145766
