var,alpha1,alpha2,beta1,beta2,gamma,sigma,tau,zeta
PCM complications,"7.0e-05 (6.8e-05, 7.2e-05)",,"2.0e-01 (1.9e-01, 2.1e-01)",,"7.9e-05 (7.9e-05, 7.9e-05)","8.2e+00 (8.2e+00, 8.2e+00)","7.2e+01 (7.2e+01, 7.2e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
Labor complications,"2.3e-06 (2.2e-06, 2.4e-06)",,"1.2e-01 (1.2e-01, 1.3e-01)",,"4.1e-06 (4.1e-06, 4.1e-06)","3.8e+00 (3.8e+00, 3.8e+00)","2.5e+01 (2.5e+01, 2.5e+01)","1.6e+01 (1.6e+01, 1.6e+01)"
Congenital malformations,"3.8e-05 (3.7e-05, 4.0e-05)",,"5.0e-02 (4.8e-02, 5.3e-02)",,"7.7e-05 (7.2e-05, 8.1e-05)","3.0e+01 (2.9e+01, 3.0e+01)","1.8e-01 (1.8e-01, 1.8e-01)","1.4e+01 (1.4e+01, 1.4e+01)"
Maternal conditions,"8.9e-05 (8.8e-05, 9.1e-05)",,"2.2e-01 (2.2e-01, 2.2e-01)",,"4.3e-05 (4.3e-05, 4.3e-05)","1.3e+01 (1.3e+01, 1.3e+01)","2.9e+01 (2.9e+01, 2.9e+01)","1.4e+01 (1.3e+01, 1.4e+01)"
Convulsions and cerebral,"6.8e-07 (6.5e-07, 7.0e-07)",,"5.7e-02 (5.5e-02, 5.8e-02)",,"6.9e-06 (6.6e-06, 7.2e-06)","9.7e+00 (9.6e+00, 9.7e+00)","1.0e+01 (1.0e+01, 1.0e+01)","1.7e+01 (1.7e+01, 1.7e+01)"
Sepsis,"1.5e-05 (1.5e-05, 1.6e-05)","1.7e-06 (1.6e-06, 1.8e-06)","1.2e-01 (1.1e-01, 1.2e-01)","7.7e-02 (7.1e-02, 8.4e-02)","1.5e-06 (1.4e-06, 1.5e-06)","1.2e+00 (1.2e+00, 1.2e+00)","1.6e+01 (1.6e+01, 1.6e+01)","1.9e+01 (1.9e+01, 1.9e+01)"
Hypoxia and asphyxia,"5.4e-06 (5.3e-06, 5.6e-06)",,"1.5e-01 (1.4e-01, 1.5e-01)",,"4.7e-06 (4.3e-06, 5.1e-06)","9.0e+00 (9.0e+00, 9.0e+00)","7.3e-03 (7.3e-03, 7.3e-03)","1.6e+01 (1.6e+01, 1.6e+01)"
Respiratory and cardiovascular,"5.4e-05 (5.2e-05, 5.7e-05)","2.3e-06 (2.3e-06, 2.4e-06)","2.1e-01 (2.0e-01, 2.3e-01)","7.7e-02 (7.6e-02, 7.7e-02)","9.4e-06 (9.4e-06, 9.4e-06)","8.7e+00 (8.7e+00, 8.7e+00)","4.3e-03 (4.3e-03, 4.3e-03)","1.6e+01 (1.6e+01, 1.6e+01)"
Fetal growth and prematurity,"6.8e-05 (6.6e-05, 7.1e-05)","1.2e-06 (1.1e-06, 1.2e-06)","2.6e-01 (2.5e-01, 2.6e-01)","9.2e-02 (8.5e-02, 1.0e-01)","3.8e-06 (3.8e-06, 3.9e-06)","6.4e-01 (6.4e-01, 6.4e-01)","2.2e+01 (2.2e+01, 2.2e+01)","1.6e+01 (1.6e+01, 1.6e+01)"
SIDS,"1.3e-07 (1.3e-07, 1.3e-07)","5.6e-05 (5.4e-05, 5.8e-05)","-3.0e-01 (-3.0e-01, -2.9e-01)","7.4e-02 (3.2e-02, 1.2e-01)","9.3e-09 (6.7e-09, 1.2e-08)","3.3e-01 (1.9e-01, 5.5e-01)","1.1e+00 (1.1e+00, 1.2e+00)","2.1e+01 (2.0e+01, 2.1e+01)"
Other specific,"3.9e-05 (3.7e-05, 4.1e-05)","2.6e-05 (2.4e-05, 2.8e-05)","2.7e-02 (2.5e-02, 2.9e-02)","4.2e-02 (3.6e-02, 4.9e-02)","1.0e-05 (7.8e-06, 1.3e-05)","3.3e+00 (3.3e+00, 3.3e+00)","3.4e-01 (3.4e-01, 3.4e-01)","1.7e+01 (1.7e+01, 1.7e+01)"
Unspecific stillbirth,"1.1e-04 (1.0e-04, 1.2e-04)",,"2.2e-01 (2.0e-01, 2.5e-01)",,"8.7e-05 (7.9e-05, 9.5e-05)","8.7e+00 (8.6e+00, 8.8e+00)","5.9e+01 (5.8e+01, 6.0e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
Unknown,"3.3e-05 (3.2e-05, 3.5e-05)",,"1.9e-01 (1.8e-01, 2.0e-01)",,"2.1e-05 (2.0e-05, 2.2e-05)","5.8e+00 (5.8e+00, 5.8e+00)","4.7e+01 (4.7e+01, 4.7e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
