var,stratum,alpha1,beta1,gamma,sigma,tau,zeta
total,Total,"4.4e-04 (4.4e-04, 4.5e-04)","6.8e-02 (6.7e-02, 7.0e-02)","2.7e-04 (2.6e-04, 2.9e-04)","1.1e+01 (1.0e+01, 1.2e+01)","3.7e-03 (3.3e-03, 4.1e-03)","1.4e+01 (1.4e+01, 1.4e+01)"
sex,Male,"4.4e-04 (4.2e-04, 4.5e-04)","6.4e-02 (6.2e-02, 6.6e-02)","2.7e-04 (2.5e-04, 3.0e-04)","4.5e+00 (2.0e+00, 9.1e+00)","1.9e+01 (1.8e+01, 1.9e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
sex,Female,"4.4e-04 (4.3e-04, 4.5e-04)","7.3e-02 (7.0e-02, 7.5e-02)","2.8e-04 (2.6e-04, 2.9e-04)","1.2e+01 (1.0e+01, 1.3e+01)","8.0e-02 (6.9e-02, 9.4e-02)","1.4e+01 (1.4e+01, 1.5e+01)"
cohort,1989,"6.4e-04 (6.3e-04, 6.5e-04)","6.2e-02 (6.0e-02, 6.3e-02)","3.5e-04 (3.3e-04, 3.6e-04)","1.3e+01 (1.1e+01, 1.4e+01)","1.5e-02 (1.5e-02, 1.5e-02)","1.5e+01 (1.5e+01, 1.6e+01)"
cohort,1999,"5.6e-04 (5.5e-04, 5.7e-04)","7.0e-02 (6.9e-02, 7.1e-02)","3.4e-04 (3.3e-04, 3.5e-04)","4.0e+00 (3.5e+00, 4.6e+00)","1.9e+01 (1.7e+01, 2.1e+01)","1.6e+01 (1.6e+01, 1.6e+01)"
cohort,2009,"4.7e-04 (4.6e-04, 4.8e-04)","6.9e-02 (6.7e-02, 7.0e-02)","2.4e-04 (2.3e-04, 2.6e-04)","1.1e+01 (9.1e+00, 1.3e+01)","1.7e-02 (1.7e-02, 1.7e-02)","1.4e+01 (1.4e+01, 1.4e+01)"
cohort,2014,"4.4e-04 (4.4e-04, 4.5e-04)","6.8e-02 (6.7e-02, 7.0e-02)","2.7e-04 (2.6e-04, 2.9e-04)","1.1e+01 (1.0e+01, 1.2e+01)","3.7e-03 (3.3e-03, 4.2e-03)","1.4e+01 (1.4e+01, 1.4e+01)"
origin,Hispanic,"3.6e-04 (3.5e-04, 3.7e-04)","7.4e-02 (7.0e-02, 7.8e-02)","2.6e-04 (2.4e-04, 2.8e-04)","6.4e+00 (6.2e+00, 6.5e+00)","2.3e+01 (2.3e+01, 2.3e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
origin,Non-Hispanic Black,"8.3e-04 (8.1e-04, 8.6e-04)","6.8e-02 (6.4e-02, 7.2e-02)","2.8e-04 (1.9e-04, 4.0e-04)","1.0e+01 (8.0e+00, 1.3e+01)","1.2e-02 (5.1e-03, 2.2e-02)","1.4e+01 (1.3e+01, 1.4e+01)"
origin,Non-Hispanic White,"3.4e-04 (3.3e-04, 3.5e-04)","6.3e-02 (6.1e-02, 6.5e-02)","2.6e-04 (2.4e-04, 2.7e-04)","1.1e+01 (9.8e+00, 1.2e+01)","8.7e-02 (8.3e-02, 9.0e-02)","1.5e+01 (1.4e+01, 1.5e+01)"
education,Associate,"2.9e-04 (2.6e-04, 3.3e-04)","7.4e-02 (7.1e-02, 7.8e-02)","2.2e-04 (1.6e-04, 3.1e-04)","6.3e+00 (5.2e+00, 7.6e+00)","1.7e+01 (1.3e+01, 2.2e+01)","1.5e+01 (1.4e+01, 1.6e+01)"
education,"Bachelor, Master, Doctorate","2.3e-04 (2.2e-04, 2.5e-04)","7.9e-02 (7.3e-02, 8.5e-02)","2.2e-04 (1.9e-04, 2.5e-04)","5.0e+00 (4.9e+00, 5.1e+00)","1.5e+01 (1.5e+01, 1.6e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
education,High school,"4.5e-04 (4.4e-04, 4.6e-04)","6.2e-02 (6.0e-02, 6.4e-02)","2.5e-04 (2.3e-04, 2.6e-04)","1.1e+01 (7.8e+00, 1.4e+01)","6.2e-03 (4.0e-03, 9.2e-03)","1.4e+01 (1.4e+01, 1.5e+01)"
education,Primary,"4.9e-04 (4.7e-04, 5.1e-04)","5.8e-02 (5.5e-02, 6.2e-02)","3.0e-04 (2.5e-04, 3.6e-04)","1.1e+01 (6.4e+00, 1.7e+01)","9.6e+00 (8.6e+00, 1.1e+01)","1.5e+01 (1.5e+01, 1.5e+01)"
