var,stratum,avg_total_Fx,se_total_Fx,q025_total_Fx,q975_total_Fx,avg_total_iFx,se_total_iFx,q025_total_iFx,q975_total_iFx,avg_birth_Fx,se_birth_Fx,q025_birth_Fx,q975_birth_Fx,avg_ontogen_Fx,se_ontogen_Fx,q025_ontogen_Fx,q975_ontogen_Fx
sex,Male,821.8,14.8,796.6,852.7,121.7,2.2,117.3,125.5,165.8,9,151,186,656.3,7.3,642.5,670.7
sex,Female,755.1,9.4,737,773.2,132.4,1.7,129.3,135.7,165.1,5.7,154.3,176.5,590.4,7.1,576.2,604.2
cohort,1989,1207.5,10.8,1187.2,1228.8,82.8,0.7,81.4,84.2,217.1,5.4,206.8,227.8,991,6.6,979.1,1004
cohort,1999,978.3,9,960.6,995.7,102.2,0.9,100.4,104.1,202.1,4.8,192.9,211.6,776.7,5.6,765.9,787.8
cohort,2009,808.6,9.6,790.7,827.6,123.7,1.5,120.8,126.5,142.5,5.2,133,152.7,666.5,5.4,655.8,677.4
cohort,2014,791.8,7.1,777.4,805.2,126.3,1.1,124.2,128.6,162.1,3.7,155.1,168.9,630.2,4.5,621,638.6
origin,Hispanic,658.1,12.7,633.2,682.6,152,2.9,146.5,157.9,182.2,7.4,168.1,196.1,476.2,8.2,460.3,492.2
origin,Non-Hispanic Black,1343.9,49,1254,1449.9,74.5,2.7,69,79.7,155.2,27.7,109.1,219.7,1189.6,24,1142,1238
origin,Non-Hispanic White,668,7.8,651.9,683.8,149.7,1.8,146.2,153.4,149.5,3.9,142.1,157.5,518.7,5.5,507.8,529.3
education,Associate,529.9,42.8,454.3,617.5,189.9,15.2,161.9,220.1,144.8,23.6,104,195.7,385.4,19.8,349.2,424.7
education,"Bachelor, Master, Doctorate",423.2,14.3,397.8,451.9,236.5,7.9,221.3,251.4,130.5,8.9,113.1,148.6,292.9,9,275.9,311.6
education,High school,837,13.1,813.5,865,119.5,1.9,115.6,122.9,140.5,13.3,116.5,170,696.9,7.7,681.5,712.8
education,Primary,1000.7,21.6,960.7,1047.7,100,2.1,95.4,104.1,206,11.5,184.2,230.6,795,14.1,768.8,822.4
