var,stratum,avg_p_birth,se_p_birth,q025_p_birth,q975_p_birth
sex,Male,20.2,0.8,18.9,21.9
sex,Female,21.9,0.6,20.5,23.1
cohort,1989,18,0.3,17.4,18.6
cohort,1999,20.7,0.3,20,21.3
cohort,2009,17.6,0.5,16.8,18.5
cohort,2014,20.5,0.3,19.8,21.1
origin,Hispanic,27.7,0.8,26.2,29.1
origin,Non-Hispanic Black,11.5,1.6,8.6,15.2
origin,Non-Hispanic White,22.4,0.4,21.6,23.2
education,Associate,27.1,2.3,22.9,31.8
education,"Bachelor, Master, Doctorate",30.8,1.4,28,33.5
education,High school,16.8,1.4,14.1,19.7
education,Primary,20.6,0.9,19,22.4
